Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N237,32052.0,439063.5,13,198,29939,253242,0,0
N2400,104231.5,69246.75,70,31,113736,84460,0,0
N1634,32052.0,439063.5,13,198,29939,253242,0,0
N244,104231.5,69246.75,70,31,113736,84460,0,0
N2843,32052.0,439063.5,13,198,29939,253242,0,0
N546,104231.5,69246.75,70,31,113736,84460,0,0
N2094,104231.5,69246.75,70,31,113736,84460,0,0
N2246,104231.5,69246.75,70,31,113736,84460,0,0
N2212,125669.5,460664.5,77,198,127671,296580,0,0
N1129,104231.5,69246.75,70,31,113736,84460,0,0
N631,104231.5,69246.75,70,31,113736,84460,0,0
N41,104231.5,69246.75,70,31,113736,84460,0,0
N596,125669.5,460664.5,77,198,127671,296580,0,0
N223,104231.5,69246.75,70,31,113736,84460,0,0
N1583,32052.0,439063.5,13,198,29939,253242,0,0
N1965,32052.0,439063.5,13,198,29939,253242,0,0
N2615,32052.0,439063.5,13,198,29939,253242,0,0
N2085,104231.5,69246.75,70,31,113736,84460,0,0
N838,104231.5,69246.75,70,31,113736,84460,0,0
N1210,104231.5,69246.75,70,31,113736,84460,0,0
N2167,104231.5,69246.75,70,31,113736,84460,0,0
N211,104231.5,69246.75,70,31,113736,84460,0,0
N2682,32052.0,439063.5,13,198,29939,253242,0,0
N2812,104231.5,69246.75,70,31,113736,84460,0,0
N1332,104231.5,69246.75,70,31,113736,84460,0,0
N2639,32052.0,439063.5,13,198,29939,253242,0,0
N2782,104231.5,69246.75,70,31,113736,84460,0,0
N2650,32052.0,439063.5,13,198,29939,253242,0,0
N671,104231.5,69246.75,70,31,113736,84460,0,0
N2612,32052.0,439063.5,13,198,29939,253242,0,0
N982,104231.5,69246.75,70,31,113736,84460,0,0
N182,104231.5,69246.75,70,31,113736,84460,0,0
N2452,104231.5,69246.75,70,31,113736,84460,0,0
N2683,104231.5,69246.75,70,31,113736,84460,0,0
N413,104231.5,69246.75,70,31,113736,84460,0,0
N468,32052.0,439063.5,13,198,29939,253242,0,0
N2474,32052.0,439063.5,13,198,29939,253242,0,0
N1692,104231.5,69246.75,70,31,113736,84460,0,0
N2429,104231.5,69246.75,70,31,113736,84460,0,0
N965,104231.5,69246.75,70,31,113736,84460,0,0
N1364,32052.0,439063.5,13,198,29939,253242,0,0
N1728,104231.5,69246.75,70,31,113736,84460,0,0
N2013,32052.0,439063.5,13,198,29939,253242,0,0
N1183,32052.0,439063.5,13,198,29939,253242,0,0
N1231,104231.5,69246.75,70,31,113736,84460,0,0
N576,104231.5,69246.75,70,31,113736,84460,0,0
N2852,104231.5,69246.75,70,31,113736,84460,0,0
N583,104231.5,69246.75,70,31,113736,84460,0,0
N1310,32052.0,439063.5,13,198,29939,253242,0,0
N750,104231.5,69246.75,70,31,113736,84460,0,0
N2304,104231.5,69246.75,70,31,113736,84460,0,0
N321,104231.5,69246.75,70,31,113736,84460,0,0
N995,104231.5,69246.75,70,31,113736,84460,0,0
N2859,32052.0,439063.5,13,198,29939,253242,0,0
N2481,104231.5,69246.75,70,31,113736,84460,0,0
N2604,32052.0,439063.5,13,198,29939,253242,0,0
N2840,104231.5,69246.75,70,31,113736,84460,0,0
N1839,104231.5,69246.75,70,31,113736,84460,0,0
N466,32052.0,439063.5,13,198,29939,253242,0,0
N1714,32052.0,439063.5,13,198,29939,253242,0,0
N2483,32052.0,439063.5,13,198,29939,253242,0,0
N2764,104231.5,69246.75,70,31,113736,84460,0,0
N2813,32052.0,439063.5,13,198,29939,253242,0,0
N2687,104231.5,69246.75,70,31,113736,84460,0,0
N1363,32052.0,439063.5,13,198,29939,253242,0,0
N2093,104231.5,69246.75,70,31,113736,84460,0,0
N1654,32052.0,439063.5,13,198,29939,253242,0,0
N333,104231.5,69246.75,70,31,113736,84460,0,0
N886,104231.5,69246.75,70,31,113736,84460,0,0
N1879,125669.5,460664.5,77,198,127671,296580,0,0
N728,104231.5,69246.75,70,31,113736,84460,0,0
N422,104231.5,69246.75,70,31,113736,84460,0,0
N102,104231.5,69246.75,70,31,113736,84460,0,0
N471,32052.0,439063.5,13,198,29939,253242,0,0
