Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N2155,53567.25,345113.375,56,364,135912,780401,0,0
N1292,49183.75,191990.625,52,150,125148,486044,0,0
N407,49186.0,192006.625,52,150,125148,486044,0,0
N1373,49186.0,192006.625,52,150,125148,486044,0,0
N617,53567.0,345113.625,55,365,135913,780400,0,0
N393,53568.75,345134.875,56,364,135912,780401,0,0
N10,53567.25,345113.375,56,364,135912,780401,0,0
N697,53567.25,345113.375,56,364,135912,780401,0,0
N865,53567.25,345113.375,56,364,135912,780401,0,0
N705,53567.25,345113.375,56,364,135912,780401,0,0
N1593,49186.0,192006.625,52,150,125148,486044,0,0
N1852,53567.25,345113.375,56,364,135912,780401,0,0
N1565,53567.25,345113.375,56,364,135912,780401,0,0
N1664,49183.75,191990.625,52,150,125148,486044,0,0
N2588,53567.25,345113.375,56,364,135912,780401,0,0
N1810,53567.25,345113.375,56,364,135912,780401,0,0
N900,53567.5,345119.125,56,364,135912,780401,0,0
N2446,53567.25,345113.375,56,364,135912,780401,0,0
N1154,53567.25,345113.375,56,364,135912,780401,0,0
N2065,53567.25,345113.375,56,364,135912,780401,0,0
N1264,53568.75,345134.875,56,364,135912,780401,0,0
N636,49183.75,191990.625,52,150,125148,486044,0,0
N2246,53567.25,345113.375,56,364,135912,780401,0,0
N514,53567.25,345113.375,56,364,135912,780401,0,0
N545,53567.25,345113.375,56,364,135912,780401,0,0
N1663,53567.25,345113.375,56,364,135912,780401,0,0
N2530,53567.25,345113.375,56,364,135912,780401,0,0
N2367,49183.75,191990.625,52,150,125148,486044,0,0
N763,53567.5,345119.125,56,364,135912,780401,0,0
N2295,53568.75,345134.875,56,364,135912,780401,0,0
N1322,53568.75,345134.875,56,364,135912,780401,0,0
N1,49183.75,191990.625,52,150,125148,486044,0,0
N2584,53567.25,345113.375,56,364,135912,780401,0,0
N2517,83895.0,439861.5,98,474,197968,960626,0,0
N1702,53567.25,345113.375,56,364,135912,780401,0,0
N711,53567.25,345113.375,56,364,135912,780401,0,0
N2157,49183.75,191990.625,52,150,125148,486044,0,0
N1770,49186.0,192006.625,52,150,125148,486044,0,0
N416,53567.5,345119.125,56,364,135912,780401,0,0
N674,49186.0,192006.625,52,150,125148,486044,0,0
N647,53568.75,345134.875,56,364,135912,780401,0,0
N113,83897.375,439882.75,98,474,197968,960626,0,0
N2300,53567.25,345113.375,56,364,135912,780401,0,0
N720,53568.75,345134.875,56,364,135912,780401,0,0
N1980,83897.625,439891.5,98,474,197968,960626,0,0
N2238,53568.75,345134.875,56,364,135912,780401,0,0
N417,53567.25,345113.375,56,364,135912,780401,0,0
N2192,53567.25,345113.375,56,364,135912,780401,0,0
N1696,53568.75,345134.875,56,364,135912,780401,0,0
N71,53567.25,345113.375,56,364,135912,780401,0,0
N676,49186.0,192006.625,52,150,125148,486044,0,0
N1205,83897.375,439882.75,98,474,197968,960626,0,0
N516,53567.25,345118.625,56,364,135912,780401,0,0
N563,49185.5,192007.125,51,151,125149,486043,0,0
N422,53567.25,345113.375,56,364,135912,780401,0,0
N485,53567.25,345113.375,56,364,135912,780401,0,0
N911,49186.25,192008.375,52,150,125148,486044,0,0
N1151,53567.5,345119.125,56,364,135912,780401,0,0
N502,49183.75,191990.625,52,150,125148,486044,0,0
N932,53567.25,345113.375,56,364,135912,780401,0,0
N1561,53567.5,345119.125,56,364,135912,780401,0,0
N1018,53567.25,345113.375,56,364,135912,780401,0,0
N2482,49183.75,191990.625,52,150,125148,486044,0,0
N718,53567.25,345113.375,56,364,135912,780401,0,0
N1257,49186.0,192006.625,52,150,125148,486044,0,0
N200,53567.25,345113.375,56,364,135912,780401,0,0
N689,53567.0,345113.625,55,365,135913,780400,0,0
N564,49183.5,191990.875,51,151,125149,486043,0,0
N235,53568.75,345134.875,56,364,135912,780401,0,0
N1297,83895.0,439861.5,98,474,197968,960626,0,0
N1071,53567.25,345113.375,56,364,135912,780401,0,0
